annotation_id,annotator,avg_rating,created_at,description,genre,id,lead_time,num_ratings,sentiment,title,updated_at,label_issue
5,1,4.0,2025-04-25T12:14:57.369150Z,"Ця книга розповідає про ліс, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про ліс. Історія сповнена символіки та метафор, що відображають ліс.",Фентезі,51,6.89,459,Фентезі,Шлях ліс,2025-04-25T12:14:57.369207Z,True
4,1,4.9,2025-04-25T12:06:31.085196Z,"Автор занурює читача в атмосферу мандрівка, поєднуючи драму та пригоди. Історія сповнена символіки та метафор, що відображають мандрівка. Читацький досвід збагачений глибокими роздумами про мандрівка.",Нон-фікшн,52,52.609,612,Нон-фікшн,Пошуки мандрівка,2025-04-25T12:07:16.733121Z,True
2,1,2.9,2025-04-25T11:54:13.265777Z,"Історія сповнена символіки та метафор, що відображають океан. Роман ідеально пасує для шанувальників жанру, хто цінує океан. Ця книга розповідає про океан, де кожен поворот сюжету тримає в напрузі.",Поезія,53,12.216,784,5.0,Загадковий океан,2025-04-25T11:56:51.343396Z,True
3,1,4.4,2025-04-25T11:54:23.069747Z,"Читацький досвід збагачений глибокими роздумами про двір. Роман ідеально пасує для шанувальників жанру, хто цінує двір. Історія сповнена символіки та метафор, що відображають двір.",Проза,54,5.741,193,1.0,Подорож до двір,2025-04-25T11:54:23.069797Z,True
6,1,2.2,2025-04-25T12:15:01.116205Z,"Автор занурює читача в атмосферу мандрівка, поєднуючи драму та пригоди. Читацький досвід збагачений глибокими роздумами про мандрівка. Ця книга розповідає про мандрівка, де кожен поворот сюжету тримає в напрузі.",Детектив,55,3.186,101,Проза,Подорож до мандрівка,2025-04-25T12:15:01.116256Z,True
7,1,3.3,2025-04-25T12:15:04.613061Z,"Ця книга розповідає про код, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про код. Історія сповнена символіки та метафор, що відображають код.",Поезія,56,3.068,337,Проза,Пошуки код,2025-04-25T12:15:04.613127Z,True
8,1,2.0,2025-04-25T12:15:08.559762Z,"Ця книга розповідає про двір, де кожен поворот сюжету тримає в напрузі. Історія сповнена символіки та метафор, що відображають двір. Автор занурює читача в атмосферу двір, поєднуючи драму та пригоди.",Нон-фікшн,57,3.513,87,Поезія,Шлях двір,2025-04-25T12:15:08.559852Z,True
9,1,3.7,2025-04-25T12:15:12.225467Z,"Автор занурює читача в атмосферу океан, поєднуючи драму та пригоди. Історія сповнена символіки та метафор, що відображають океан. Роман ідеально пасує для шанувальників жанру, хто цінує океан.",Поезія,58,3.067,297,Нон-фікшн,Пошуки океан,2025-04-25T12:15:12.225535Z,True
10,1,2.2,2025-04-25T12:15:15.502149Z,"Ця книга розповідає про океан, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про океан. Автор занурює читача в атмосферу океан, поєднуючи драму та пригоди.",Нон-фікшн,59,2.823,346,Детектив,Тихий океан,2025-04-25T12:15:15.502206Z,True
11,1,4.1,2025-04-25T12:15:18.599111Z,"Читацький досвід збагачений глибокими роздумами про дорога. Роман ідеально пасує для шанувальників жанру, хто цінує дорога. Історія сповнена символіки та метафор, що відображають дорога.",Фентезі,60,2.62,431,Проза,Подорож до дорога,2025-04-25T12:15:18.599164Z,False
12,1,1.7,2025-04-25T12:15:21.816404Z,"Ця книга розповідає про мандрівка, де кожен поворот сюжету тримає в напрузі. Автор занурює читача в атмосферу мандрівка, поєднуючи драму та пригоди. Читацький досвід збагачений глибокими роздумами про мандрівка.",Фентезі,61,2.798,363,Детектив,Шлях мандрівка,2025-04-25T12:15:21.816450Z,False
13,1,2.2,2025-04-25T12:15:25.546448Z,"Читацький досвід збагачений глибокими роздумами про ліс. Роман ідеально пасує для шанувальників жанру, хто цінує ліс. Історія сповнена символіки та метафор, що відображають ліс.",Нон-фікшн,62,3.279,166,Нон-фікшн,Шлях ліс,2025-04-25T12:15:25.546512Z,True
14,1,2.5,2025-04-25T12:15:31.789032Z,"Історія сповнена символіки та метафор, що відображають код. Читацький досвід збагачений глибокими роздумами про код. Роман ідеально пасує для шанувальників жанру, хто цінує код.",Фентезі,63,5.808,20,Фентезі,Золотий код,2025-04-25T12:15:31.789082Z,False
15,1,3.2,2025-04-25T12:15:35.106460Z,"Автор занурює читача в атмосферу місто, поєднуючи драму та пригоди. Читацький досвід збагачений глибокими роздумами про місто. Ця книга розповідає про місто, де кожен поворот сюжету тримає в напрузі.",Проза,64,2.889,848,Поезія,Срібний місто,2025-04-25T12:15:35.106514Z,True
16,1,3.1,2025-04-25T12:15:39.090578Z,"Історія сповнена символіки та метафор, що відображають ніч. Роман ідеально пасує для шанувальників жанру, хто цінує ніч. Автор занурює читача в атмосферу ніч, поєднуючи драму та пригоди.",Проза,65,3.51,824,Детектив,Шлях ніч,2025-04-25T12:15:39.090628Z,False
17,1,3.3,2025-04-25T12:15:42.350219Z,"Читацький досвід збагачений глибокими роздумами про місто. Роман ідеально пасує для шанувальників жанру, хто цінує місто. Автор занурює читача в атмосферу місто, поєднуючи драму та пригоди.",Нон-фікшн,66,2.796,818,Проза,Подорож до місто,2025-04-25T12:15:42.350270Z,False
18,1,4.3,2025-04-25T12:17:05.236961Z,"Історія сповнена символіки та метафор, що відображають ліс. Читацький досвід збагачений глибокими роздумами про ліс. Автор занурює читача в атмосферу ліс, поєднуючи драму та пригоди.",Проза,67,82.366,38,Поезія,Шлях ліс,2025-04-25T12:17:05.237016Z,False
19,1,4.6,2025-04-25T12:17:08.996128Z,"Історія сповнена символіки та метафор, що відображають сонце. Роман ідеально пасує для шанувальників жанру, хто цінує сонце. Автор занурює читача в атмосферу сонце, поєднуючи драму та пригоди.",Детектив,68,3.271,186,Проза,Шлях сонце,2025-04-25T12:17:08.996176Z,True
20,1,3.1,2025-04-25T12:17:12.235548Z,"Роман ідеально пасує для шанувальників жанру, хто цінує двір. Читацький досвід збагачений глибокими роздумами про двір. Історія сповнена символіки та метафор, що відображають двір.",Фентезі,69,2.737,474,Детектив,Шлях двір,2025-04-25T12:17:12.235601Z,True
